year,decade_code,title,director,writer,plot,clean_test,budget,domgross,intgross,budget_2013,domgross_2013,intgross_2013,metascore,imdb_rating,awards
2013,1,21 &amp; Over,NA,NA,NA,notalk,13000000,25682380,42195766,13000000,25682380,42195766,NA,NA,NA
2012,1,Dredd 3D,NA,NA,NA,ok,45000000,13414714,40868994,45658735,13611086,41467257,NA,NA,NA
2013,1,12 Years a Slave,Steve McQueen,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",notalk,20000000,53107035,158607035,20000000,53107035,158607035,97,8.3,Won 3 Oscars. Another 131 wins & 137 nominations.
2013,1,2 Guns,Baltasar Kormákur,"Blake Masters (screenplay), Steven Grant (based on the Boom! Studios graphic novels by)","A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.",notalk,61000000,75612460,132493015,61000000,75612460,132493015,55,6.8,1 win.
2013,1,42,Brian Helgeland,Brian Helgeland,The life story of Jackie Robinson and his history-making signing with the Brooklyn Dodgers under the guidance of team executive Branch Rickey.,men,40000000,95020213,95020213,40000000,95020213,95020213,62,7.6,3 wins & 13 nominations.
2013,1,47 Ronin,Carl Rinsch,"Chris Morgan (screenplay), Hossein Amini (screenplay), Chris Morgan (screen story by), Walter Hamada (screen story by)",A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,men,225000000,38362475,145803842,225000000,38362475,145803842,29,6.6,1 nomination.
2013,1,A Good Day to Die Hard,John Moore,"Skip Woods, Roderick Thorp (certain original characters by)","John McClane travels to Russia to help out his seemingly wayward son, Jack, only to discover that Jack is a CIA operative working undercover, causing the father and son to team up against underworld forces.",notalk,92000000,67349198,304249198,92000000,67349198,304249198,28,5.4,2 wins & 3 nominations.
2013,1,About Time,Richard Curtis,Richard Curtis,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",ok,12000000,15323921,87324746,12000000,15323921,87324746,55,7.8,1 win & 6 nominations.
2013,1,Admission,Paul Weitz,"Karen Croner (screenplay), Jean Hanff Korelitz (based on the novel by)",A Princeton admissions officer who is up for a major promotion takes a professional risk after she meets a college-bound alternative school kid who just might be the son she gave up years ago in a secret adoption.,ok,13000000,18007317,18007317,13000000,18007317,18007317,48,5.7,N/A
2013,1,After Earth,M. Night Shyamalan,"Gary Whitta (screenplay), M. Night Shyamalan (screenplay), Will Smith (story)","A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",notalk,130000000,60522097,244373198,130000000,60522097,244373198,33,5,3 wins & 5 nominations.
2013,1,American Hustle,David O. Russell,"Eric Warren Singer, David O. Russell","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",ok,40000000,148430908,249484909,40000000,148430908,249484909,90,7.5,Nominated for 10 Oscars. Another 49 wins & 77 nominations.
2013,1,August: Osage County,John Wells,"Tracy Letts (screenplay), Tracy Letts (play)","A look at the lives of the strong-willed women of the Weston family, whose paths have diverged until a family crisis brings them back to the Oklahoma house they grew up in, and to the dysfunctional woman who raised them.",ok,25000000,37304874,50304874,25000000,37304874,50304874,58,7.4,Nominated for 2 Oscars. Another 7 wins & 36 nominations.
2013,1,Beautiful Creatures,Richard LaGravenese,"Richard LaGravenese (screenplay), Kami Garcia (based on the novel ""Beautiful Creatures"" by), Margaret Stohl (based on the novel ""Beautiful Creatures"" by)","Ethan longs to escape his small Southern town. He meets a mysterious new girl, Lena. Together, they uncover dark secrets about their respective families, their history and their town.",ok,50000000,19452138,55940671,50000000,19452138,55940671,52,6.2,7 nominations.
2013,1,Blue Jasmine,Woody Allen,Woody Allen,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",ok,18000000,33345833,68447831,18000000,33345833,68447831,78,7.4,Won 1 Oscar. Another 24 wins & 36 nominations.
2013,1,Captain Phillips,Paul Greengrass,"Billy Ray (screenplay), Richard Phillips (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by), Stephan Talty (based upon the book ""A Captain's Duty: Somali Pirates,  Navy SEALS,  and Dangerous Days at Sea"" by)","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",notalk,55000000,107136417,218743570,55000000,107136417,218743570,83,8,Nominated for 6 Oscars. Another 16 wins & 68 nominations.
